Headword,Definition
ВБЛИЗИ,поблізь наўпоблізь.
ВБОЛВАНИТЬ,"што ў каго, ўцямешыць, ўбіць."
ВБРАСЫВАТЬ,"што у што, ўкідаць, ўрынаць, ўлукаць, ўшпурляць, ўшыбаць."
ВБРОД,"ўброд, бродзькі. Трэ было Янку перайсьці раку бродзькі. (Сержп. стр. 55)."
ВБРЫЗГИВАТЬ,"што у што, ўстрыкаць, ўстрыкнуць. Устрыкнулі яму лякарства пад скуру."
ВБУРОВИТЬ,"што у што, ўсьвярліць, ўкруціць."
ВБУХАТЬ,"што у што, ўбухаць, ўпялёхнуць, ўчабохнуць."
ВБЫЛЬ,"ўзапраўдна, запраўды."
ВВАЖИВАТЬ,"каго куды, у што; ўнаджываць."
ВВАЛИВАТЬ,"каго куды, у што ўваляць, ўрынаць. Ўрынулі (ўвалілі) ў ваду."
ВВЕДЕНИЕ,ўступ. Уступ у абладаньне маемасьцю. Напісаў уступ у гісторыю.
ВВЕРГАТЬ,"што куды, або у што: ўрынаць."
ВВЕРТЫВАТЬ,"што у што; ўшрубоўваць, укручваць-цца, укруціць самого сябе. Шашаль укручваецца галоўкай у дрэва. Укручына, валакністы круг, які трымае аглаблю пры палазе ў санях."
ВВЕРХУ,"ўверсе, ўгарэ, ўвышы."
ВВЕРХ,"ўзвыш, ўзверх, Верхтавік-ўня-ўка, пакрышка, завяршэньня чаго."
ВВИВАТЬ,"што у што; ўвіваць, ўвінаць, ўсукаць. Увінулі ў паперку лякарства. Паміж парітовых ўсукае адну суконную нітку. Увінул ў валасы істужку. Пражу сукае. Сукаюць сьвечкі."
ВВИВАТЬСЯ,ўсукацца.
ВВИТОК,"ўсуканец, ўвіток."
ВВИНЧИВАТЬ,"што у што, ўшрубоўваць, ўшрубоўка; ўкручваць."
ВВОДИТЬ,"каго у што; ўвадзіць, ўвязваць."
ВВОЗИТЬ,"што куды; ўвазіць, ўвозны, на ўвоз. Увознае, плата за ўвоз."
ВВОЛАКИВАТЬ,"што, ўвалачваць, ўцягаць."
ВВОЛЮ,"чаго, ўволю, ўдосыць, ўдохаць."
ВВОРАЧИВАТЬ,"што куды, у што; ўвяртаць, ўгартаць."
ВВОСЬМЕРА,"нар. ўвосьмера, ўвосем радоў, згібаў, складак, пасём."
ВВЫКАТЬ,"у што, ўвыкаць, агоўтацца, ўцягнуцца, ўлажыцца."
ВВЕРЯТЬ,"што каму; здаверыць, ўдаверыць. Здаверная справа. Ён мне здаверыўся. Я даў адвакату свой здаверчы ліст. Ён быў панскім здавернікам. Здавернай рэчы не прадавай нікому. Ён ўдаверыў мяне у сваей нявіннасьці. Здаверніка-ніцу сваю, глядзі, не ашукай."
ВВЯЗАТЬ,"што у што; ўвязаць. Увяжы пажыткі сваей ў хусьцінку. Толькі добра ўвяжы рэчы, каб не пагубіць едучы. Увязны мяшок атарваўся. Увязаўся гэта ён у нашу справу (Рам.)."
ВГИБАТЬ,"што, ўгінаць, ўгібаць. Каб дапасаваць, прышлося ўгібаць у шчалугу бляху. Трэба хлапца ўгібаць (ўгінаць) да навукі. На самым ўгібе праржавела конаўка. Угібістыя пірагі. Наўзгіб зьвяжы да перавозкі бляху."
ВГЛУБЛЯТЬСЯ,"у што; ўглыбляцца, Не нырай, ўглыб, утопішся. У глыбежы марской. Ён зглыбежыў ўсю мудрасьць кніжную. Углыбежыўся ў думы свае. Наўзглыбныя процьмы спазнаў. Вызглыбежыў мінуўшчыну. Наўзглыбныя надзеі свае зысьціў."
ВГЛЯДЫВАТЬСЯ,"у што; ўзірацца, ўглядацца, Што ўзіраешся ў мяне, або-ж не спазнаеш. Страшан чорт, а ўглядзішся і нішто сабе. Узіраецца ў шэрую даль. Углядчывы гаспадар з яго, ўсюды зірне сваім вокам. Углядчывы хлопец, хутка такі навучыцца рукомесла ўсякага. Узорыўся ў адно мейсца і замер. Не ўзірайся на чужыя дастаткі. Наўзіркам пілнуе дачкі на вячорках."
ВГОНЯТЬ,"што у што, ўганяць. Не ўганяй бацькоў у пакрыўду. Не ўганяй цьвяка ў стальніцу, будзе нажы тупіць. Угончывы конь ніколі не адстане ад другога. Наўзгонкі ехалі, хто каго выперадзіць. Нам ўгону німа ў дворны лес."
